# Created by Graham Nelson-Zutter. ©2026 Aestra Inc. except when external source noted. CC BY-NC-ND 4.0
"start","end","text"
"580","1060"," The"
"1060","1420"," following"
"1420","1740"," is"
"1740","1860"," a"
"1860","2380"," meditation"
"2380","3260"," for"
"3260","3440"," the"
"3440","3800"," first"
"3800","4580"," fundamental"
"4580","5200"," motivation"
"5200","5520"," of"
"5520","6020"," existential"
"6020","6620"," analysis,"
"8720","9320"," helping"
"9320","9640"," us"
"9640","10200"," answer"
"10200","10500"," the"
"10500","10900"," question"
"10900","11580"," of"
"11580","11840"," can"
"11840","12020"," I"
"12020","12420"," be"
"12420","14160"," with"
"14160","14300"," an"
"14300","14680"," affirmative"
"14680","15180"," yes."
"21170","21490"," The"
"21490","21930"," speaker"
"21930","22690"," and"
"22690","23130"," creator"
"24070","24510"," is"
"24510","24810"," Graham"
"24810","25070"," Nelson"
"25070","25350"," Zutter."
"31600","32140"," Please"
"32140","32420"," take"
"32420","32560"," a"
"32560","32780"," moment"
"32780","33100"," to"
"33100","33720"," find"
"33720","34420"," a"
"34420","34640"," seated"
"34640","35200"," position"
"37470","38610"," where"
"38610","39110"," there's"
"39110","39490"," support"
"39490","39730"," for"
"39730","39870"," the"
"39870","40230"," back"
"40230","41450"," and"
"41450","41630"," an"
"41630","42050"," ability"
"42050","42530"," to"
"42530","42950"," place"
"42950","44610"," your"
"44610","44890"," feet"
"44890","45170"," flat"
"45170","45310"," on"
"45310","45430"," the"
"45430","45770"," ground. "
"50490","50810"," It"
"50810","50990"," may"
"50990","51310"," also"
"51310","51570"," be"
"51570","51890"," helpful"
"51890","52490"," to"
"52490","52670"," have"
"52670","52830"," a"
"52830","53210"," posture"
"53210","55170"," where"
"55170","55330"," your"
"55330","55810"," back"
"55810","56790"," is"
"56790","57150"," fairly"
"57150","57610"," vertical"
"57610","58990"," and"
"58990","59210"," there's"
"59210","59410"," little"
"59410","59910"," strain"
"59910","61550"," on"
"61550","61710"," your"
"61710","62010"," neck,"
"64160","65060"," perhaps"
"65060","65320"," where"
"65320","65480"," your"
"65480","65760"," head"
"65760","65960"," is"
"65960","66280"," centered"
"66280","66640"," above"
"66640","66840"," your"
"66840","67100"," spinal"
"67100","67540"," column."
"70000","70560"," If"
"70560","70800"," this"
"70800","71100"," isn't"
"71100","71600"," possible,"
"72360","72520"," the"
"72520","72920"," variation"
"72920","73740"," includes"
"73740","74920"," back"
"74920","75480"," support"
"75480","76800"," where"
"76800","76920"," there"
"76920","77100"," are"
"77100","77380"," pillows"
"77380","77700"," that"
"77700","77860"," can"
"77860","78200"," support"
"78200","78400"," the"
"78400","78580"," weight"
"78580","78720"," of"
"78720","78840"," your"
"78840","79140"," neck."
"81730","81910"," The"
"81910","82110"," goal"
"82110","82410"," here"
"82410","82630"," is"
"82630","82830"," to"
"82830","83050"," not"
"83050","83310"," sit"
"83310","83470"," with"
"83470","83730"," any"
"83730","84290"," strain"
"84290","85150"," and"
"86530","86690"," to"
"86690","86870"," find"
"86870","87110"," some"
"87110","87430"," ease"
"87430","87590"," in"
"87590","87750"," your"
"87750","88130"," posture. "
"91170","91730"," In"
"91730","92050"," addition"
"92050","92430"," to"
"92430","92730"," your"
"92730","93190"," feet"
"93190","93790"," being"
"93790","95050"," planted"
"95050","95570"," flat"
"95570","96010"," on"
"96010","96170"," the"
"96170","96530"," floor,"
"97610","98370"," I"
"98370","98670"," invite"
"98670","99150"," you"
"99150","100630"," to"
"100630","100910"," place"
"100910","101110"," your"
"101110","101470"," hands"
"101470","101650"," on"
"101650","101810"," your"
"101810","102130"," lap."
"107740","108000"," If"
"108000","108200"," it's"
"108200","108600"," possible"
"108600","108900"," to"
"108900","109180"," close"
"109180","109400"," your"
"109400","109780"," eyes"
"109780","110240"," today,"
"110480","110720"," I"
"110720","110980"," invite"
"110980","111160"," you"
"111160","111300"," to"
"111300","111460"," do"
"111460","111700"," that"
"111700","111940"," as"
"111940","112160"," well."
"113800","114100"," If"
"114100","114260"," for"
"114260","114460"," any"
