# Created by Graham Nelson-Zutter. ©2026 Aestra Inc. except when external source noted. CC BY-NC-ND 4.0
"start","end","text"
"900","1400"," The"
"1400","1780"," following"
"1780","2980"," is"
"2980","3100"," a"
"3100","3560"," meditation"
"3560","4000"," for"
"4000","4180"," the"
"4180","4540"," fourth"
"4540","5140"," fundamental"
"5140","5720"," motivation"
"5720","6600"," of"
"6600","7060"," existential"
"7060","7700"," analysis,"
"8780","9600"," helping"
"9600","10240"," us"
"10240","10540"," answer"
"10540","10740"," the"
"10740","11300"," question"
"11300","12000"," of,"
"12500","12940"," for"
"12940","13240"," what"
"13240","13480"," should"
"13480","13600"," I"
"13600","13780"," live"
"13780","13980"," my"
"13980","14360"," life?"
"15140","15580"," We"
"15580","15980"," offer"
"15980","16160"," an"
"16160","16880"," experience"
"16880","17520"," of"
"17520","17680"," the"
"17680","18160"," possibility"
"18160","18460"," of"
"18460","18580"," what"
"18580","18700"," it"
"18700","18860"," could"
"18860","19040"," be"
"19040","19420"," like"
"19420","20220"," to"
"20220","20420"," live"
"20420","20620"," with"
"20620","20900"," meaning"
"20900","21140"," in"
"21140","21260"," your"
"21260","21600"," life."
"22500","23060"," The"
"23060","23340"," speaker"
"23340","23820"," and"
"23820","24300"," creator"
"24300","25080"," is"
"25080","25600"," Graham"
"25600","25920"," Nelson "
"25920","26200","-Zutter."
"29940","30360"," Please"
"30360","30620"," take"
"30620","30780"," a"
"30780","30980"," moment"
"30980","31720"," to"
"31720","32280"," find"
"32280","33060"," a"
"33060","33280"," seated"
"33280","33920"," position"
"34980","35680"," where"
"35680","36020"," your"
"36020","36320"," back"
"36320","36520"," is"
"36520","36980"," supported,"
"37860","38760"," you"
"38760","38980"," feel"
"38980","39440"," comfortable,"
"41870","42230"," and"
"42230","42330"," you"
"42330","42590"," have"
"42590","42770"," the"
"42770","43150"," ability"
"43150","43470"," to"
"43470","43770"," place"
"43770","43970"," your"
"43970","44270"," feet"
"44270","44510"," on"
"44510","44630"," the"
"44630","45070"," ground. "
"48140","48580"," You"
"48580","48780"," may"
"48780","49100"," find"
"49100","49280"," that"
"49280","49500"," sitting"
"49500","49680"," in"
"49680","49900"," lotus"
"49900","50260"," feels"
"50260","50660"," comfortable"
"50660","51000"," for"
"51000","51320"," you."
"53820","54160"," Just"
"54160","54440"," ask"
"54440","54860"," yourself"
"54860","55440"," if"
"55440","55640"," it's"
"55640","56140"," possible"
"56140","57200"," for"
"57200","57580"," this"
"57580","58140"," position"
"58140","58340"," to"
"58340","58480"," be"
"58480","58680"," more"
"58680","59080"," comfortable."
"60840","61540"," Perhaps"
"61540","62240"," if"
"62240","62520"," seated"
"62520","62780"," in"
"62780","63180"," lotus,"
"63739","64500"," you"
"64500","64760"," may"
"64760","65300"," even"
"65300","65720"," place"
"65720","66120"," bolsters"
"66120","66420"," or"
"66420","66740"," pillows"
"66740","67160"," under"
"67160","67640"," your"
"67640","67990"," legs. "
"67990","68870"," And"
"72230","72950"," if"
"72950","73270"," seated"
"73270","73690"," in"
"73690","73850"," a"
"73850","74190"," chair"
"74190","75190"," or"
"75190","75630"," couch,"
"75990","77250"," just"
"77250","77710"," adjusting"
"77710","78010"," your"
"78010","78410"," posture,"
"80850","81150"," giving"
"81150","81510"," yourself"
"81510","81750"," the"
"81750","82270"," opportunity"
"82270","82750"," to"
"82750","83070"," have"
"83070","83470"," some"
"83470","83930"," alignment"
"83930","84670"," between"
"84670","86330"," your"
"86330","86590"," spinal"
"86590","87010"," column"
"87010","87230"," and"
"87230","87370"," your"
"87370","87750"," head,"
"89350","90210"," noticing"
"90210","90850"," if"
"90850","91070"," you're"
"91070","91270"," leaning"
"91270","92030"," forward,"
"93730","94190"," backwards,"
"94470","94570"," or"
"94570","94730"," to"
"94730","94930"," a"
"94930","95350"," side,"
"98020","98260"," just"
"98260","98640"," seeing"
"98640","98820"," if"
"98820","99020"," there's"
"99020","99160"," a"
"99160","99680"," possibility"
"99680","100120"," to"
"100120","100480"," have"
"100480","100800"," more"
"100800","101240"," vertical"
"101240","101760"," alignment,"
"106850","107170"," and"
"107170","107530"," inviting"
"107530","107970"," you,"
"109170","109490"," if"
"109490","109630"," you're"
"109630","109830"," not"
"109830","110030"," able"
"110030","110230"," to"
"110230","110410"," do"
"110410","110810"," so,"
"112110","112550"," to"
"112550","113090"," find"
"113090","115270"," pillows"
"115270","115510"," or"
"115510","115710"," some"
"115710","116090"," form"
"116090","116270"," of"
"116270","116490"," neck"
"116490","116850"," support"
"116850","117350"," for"
"117350","117530"," your"
"117530","117810"," neck"
"117810","117970"," and"
"117970","118290"," head"
"119730","120690"," to"
"120690","121070"," ensure"
"121070","121410"," that"
"121410","121650"," there's"
"121650","121830"," no"
"121830","122210"," strain."
"127630","127750"," And"
"127750","127970"," once"
"127970","128150"," you"
"128150","128410"," find"
"128410","128889"," yourself"
"128889","129110"," in"
"129110","129270"," this"
"129270","129630"," position,"
"129630","129889"," I"
"129889","130210"," invite"
"130210","130630"," you"
"130630","132210"," to"
"132210","132710"," gently"
"132710","133010"," rest"
"133010","133190"," your"
"133190","133490"," hands"
"133490","133670"," on"
"133670","133790"," your"
"133790","134130"," lap,"
"137970","138290"," maybe"
"138290","138610"," check"
"138610","138790"," and"
"138790","139150"," see"
"139150","139530"," your"
"139530","139990"," temperature,"
"142780","143340"," noticing"
"143340","143820"," if"
"143820","143980"," there"
"143980","144080"," are"
"144080","144220"," any"
"144220","144620"," adjustments"
"144620","145000"," that"
"145000","145120"," can"
"145120","145280"," be"
"145280","145720"," made."
"154430","154730"," Once"
"154730","154950"," you're"
"154950","155150"," seated"
"155150","155730"," comfortably,"
"156690","157210"," to"
"157210","157370"," take"
"157370","157530"," a"
"157530","157850"," moment"
"157850","158590"," and"
"158590","159630"," feel"
"159630","161750"," support"
"161750","162130"," from"
"162130","162650"," underneath,"
"166590","167110"," noticing"
"167110","167530"," that"
"167530","167730"," the"
"167730","168130"," support"
"168130","168350"," in"
"168350","168510"," the"
"168510","168910"," floor"
"170250","171030"," and"
"171030","171190"," the"
"171190","171590"," support"
"171590","171850"," in"
"171850","172010"," the"
"172010","172290"," chair"
"172290","172550"," and"
"172550","172970"," couch"
"172970","175250"," are"
"175250","175690"," connected"
"175690","176210"," to"
"176210","176470"," a"
"176470","176850"," larger"
"176850","177510"," network"
"177510","177750"," of"
"177750","178130"," support. "
"182190","182560"," The"
"182560","182940"," floor"
"182940","183240"," that"
"183240","183500"," you're"
"183500","183920"," on"
"183920","185780"," is"
"185780","186200"," connected"
"186200","186600"," to"
"186600","186800"," a"
"186800","187260"," structure"
"188700","189440"," of"
"189440","189560"," a"
"189560","189940"," building,"
"190020","190260"," which"
"190260","190420"," is"
"190420","190780"," connected"
"190780","191240"," to"
"191240","191520"," a"
"191520","192020"," foundation,"
"194040","194740"," and"
"194740","194920"," this"
"194920","195420"," foundation"
"195420","195960"," is"
"195960","196280"," resting"
"196280","196900"," in"
"196900","197120"," the"
"197120","197520"," earth."
"200970","201290"," Just"
"201290","201570"," as"
"201570","201930"," this"
"201930","202650"," building"
"202650","203790"," rests"
"203790","204010"," on"
"204010","204190"," its"
"204190","204750"," foundations"
"204750","205090"," in"
"205090","205230"," the"
"205230","205590"," earth,"
"206550","206810"," you"
"206810","207210"," too"
"207210","208130"," sit"
"208130","208430"," here"
"208430","208610"," in"
"208610","208810"," this"
"208810","209210"," chair,"
"210390","211210"," on"
"211210","211430"," this"
"211430","211890"," floor,"
"213840","214820"," sharing"
"214820","215060"," in"
"215060","215220"," the"
"215220","215640"," support,"
"218310","218770"," inviting"
"218770","220790"," the"
"220790","221610"," groundedness"
"221610","221970"," of"
"221970","222110"," the"
"222110","222430"," earth"
"222430","223450"," to"
"224760","225000"," come"
"225000","225280"," up"
"225280","226100"," through"
"226100","227400"," the"
"227400","227800"," foundations"
"227800","228120"," of"
"228120","228340"," this"
"228340","228800"," building,"
"229540","229740"," the"
"229740","230060"," structure"
"230060","230280"," of"
"230280","230460"," this"
"230460","230800"," building,"
"231260","231440"," to"
"231440","231620"," the"
"231620","232020"," floor,"
"232920","233740"," to"
"233740","233960"," your"
"233960","234300"," feet,"
"236020","236360"," and"
"236360","236880"," to"
"236880","237420"," your"
"237420","237680"," lower"
"237680","238240"," legs,"
"238400","238660"," upper"
"238660","239280"," legs,"
"241240","241720"," glutes,"
"242500","242760"," and"
"242760","243000"," sitting"
"243000","243420"," bones."
"248750","249510"," Asking"
"249510","249930"," yourself"
"249930","250150"," if"
"250150","250450"," it's"
"250450","251030"," possible"
"251030","251390"," to"
"251390","251750"," invite"
"251750","252090"," more"
"252090","252250"," of"
"252250","252410"," this"
"252410","252710"," grounded"
"252710","253350"," energy"
"253350","254050"," into"
"254050","254730"," your"
"254730","255029"," body. "
"259279","259899"," The"
"259899","260300"," idea"
"260300","260720"," of"
"260720","261180"," electrical"
"261180","261680"," grounding"
"261680","262040"," or"
"262040","262380"," energy"
"262380","262820"," grounding"
"262820","263180"," might"
"263180","263500"," become"
"263500","263840"," helpful"
"263840","264200"," here,"
"267610","267970"," thinking"
"267970","269010"," of"
"269010","269530"," how"
"269530","270290"," excess"
"270290","270770"," energy"
"270770","271050"," that"
"271050","271190"," might"
"271190","271370"," be"
"271370","271810"," present"
"271810","272970"," in"
"272970","273130"," your"
"273130","273550"," body"
"273550","275550"," has"
"275550","275690"," the"
"275690","276190"," opportunity"
"276190","276750"," now"
"276750","277150"," to"
"277150","277470"," go"
"277470","278050"," through"
"278050","279450"," your"
"279450","279710"," feet"
"279710","280730"," to"
"283520","283940"," find"
"283940","284300"," some"
"284300","284860"," balance,"
"287750","288410"," and"
"288410","288650"," this"
"288650","289070"," excess"
"289070","289270"," of"
"289270","289650"," energy"
"289650","289990"," is"
"289990","290210"," able"
"290210","290490"," to"
"290490","290910"," leave"
"290910","291110"," and"
"291110","291710"," dissipate"
"291710","291870"," through"
"291870","292030"," your"
"292030","292430"," body"
"292430","293830"," gently"
"293830","295610"," without"
"295610","296150"," any"
"296150","296570"," effort,"
"301470","302070"," and"
"302070","302270"," as"
"302270","302450"," that"
"302450","302830"," charge"
"302830","303170"," leaves"
"303170","303350"," your"
"303350","303750"," body,"
"305010","305810"," just"
"305810","306130"," checking"
"306130","306390"," to"
"306390","306790"," see"
"306790","308770"," if"
"308770","308970"," you're"
"308970","309230"," willing"
"309230","309590"," to"
"309590","310130"," accept"
"310130","310550"," this"
"310550","310910"," grounded"
"310910","311430"," energy"
"311430","312750"," in"
"312750","312910"," its"
"312910","313330"," place,"
"317690","318210"," inviting"
"318210","318610"," this"
"318610","319110"," balance"
"319110","319410"," within"
"319410","319570"," the"
"319570","319970"," body,"
"331090","331770"," and"
"331770","332090"," shifting"
"332090","332310"," your"
"332310","332670"," attention"
"332670","333050"," to"
"333050","333250"," your"
"333250","333630"," breath"
"333630","335870"," without"
"335870","336150"," the"
"336150","336350"," need"
"336350","336550"," to"
"336550","336870"," change"
"336870","337050"," how"
"337050","337270"," you're"
"337270","337610"," breathing,"
"338090","338710"," just"
"338710","339090"," noticing"
"339090","339450"," that"
"339450","339650"," you've"
"339650","339790"," been"
"339790","340070"," breathing"
"340070","340350"," this"
"340350","340530"," whole"
"340530","341010"," time."
"343760","344200"," There's"
"344200","344380"," no"
"344380","344520"," need"
"344520","344720"," to"
"344720","345120"," control"
"345120","345360"," how"
"345360","345600"," you're"
"345600","345920"," breathing,"
"348510","349190"," and"
"349190","349450"," it"
"349450","349610"," can"
"349610","349990"," be"
"349990","350510"," helpful"
"350510","350830"," to"
"350830","351170"," notice"
"351170","351370"," that"
"351370","351550"," you"
"351550","351890"," are"
"353520","354720"," inviting"
"354720","356480"," this"
"356480","357120"," oxygen "
"357120","358160","-rich"
"358160","358660"," air"
"359460","360200"," into"
"360200","360420"," the"
"360420","360840"," openness"
"360840","361320"," of"
"361320","361480"," your"
"361480","361780"," lungs"
"361780","362000"," as"
"362000","362160"," they"
"362160","362700"," expand,"
"367500","367940"," and"
"367940","368140"," as"
"368140","368300"," you"
"368300","368760"," exhale,"
"369220","369800"," allowing"
"369800","370100"," this"
"370100","370380"," carbon"
"370380","370960"," dioxide"
"371800","372500"," to"
"372500","373100"," release,"
"375200","375540"," to"
"375540","375940"," relax"
"375940","376260"," out"
"376260","376400"," of"
"376400","376540"," your"
"376540","376920"," body,"
"383090","383510"," both"
"383510","383690"," the"
"383690","383950"," in "
"383950","384390","-breath"
"384390","385570"," and"
"385570","385870"," out "
"385870","386270","-breath,"
"387790","388630"," not"
"388630","389310"," requiring"
"389310","389930"," any"
"389930","390490"," additional"
"390490","391090"," effort,"
"394730","395090"," holding"
"395090","395370"," the"
"395370","395730"," awareness"
"395730","396190"," that"
"396190","396410"," your"
"396410","396910"," body"
"397890","398650"," will"
"398650","399070"," continue"
"399070","399350"," to"
"399350","399750"," breathe"
"399750","399990"," whether"
"399990","400210"," you"
"400210","400570"," focus"
"400570","401170"," on"
"401170","402610"," the"
"402610","402890"," breath"
"402890","403110"," or"
"403110","403490"," not."
"408120","408700"," You"
"408700","409080"," may"
"409080","409540"," recall"
"409540","410980"," that"
"410980","411260"," the"
"411260","411620"," oxygen"
"411620","411900"," you"
"411900","412420"," breathe"
"412420","414240"," is"
"414240","414700"," part"
"414700","415380"," of"
"415380","415540"," the"
"415540","415960"," oxygen"
"415960","416280"," that"
"416280","416560"," all"
"416560","416760"," of"
"416760","416900"," the"
"416900","417220"," beautiful"
"417220","417780"," plants"
"417780","418920"," of"
"418920","419260"," this"
"419260","419800"," earth"
"419800","421940"," create. "
"426450","427110"," As"
"429000","437160"," the"
"441030","441550"," as"
"441550","441750"," the"
"441750","442070"," photon"
"442070","442750"," hits"
"442750","443070"," the"
"443070","443330"," carbon"
"443330","443870"," dioxide"
"443870","444650"," molecule,"
"445870","446130"," the"
"446130","446490"," very"
"446490","447210"," same"
